"Time Between Gates, Ch 1+2 (s) Run #1","Speed Between Gates, Ch 1+2 (m/s) Run #1","Time Between Gates, Ch 3+4 (s) Run #1","Speed Between Gates, Ch 3+4 (m/s) Run #1","Time Between Gates, Ch 1+2 (s) Run #2","Speed Between Gates, Ch 1+2 (m/s) Run #2","Time Between Gates, Ch 3+4 (s) Run #2","Speed Between Gates, Ch 3+4 (m/s) Run #2","Time Between Gates, Ch 1+2 (s) Run #3","Speed Between Gates, Ch 1+2 (m/s) Run #3","Time Between Gates, Ch 3+4 (s) Run #3","Speed Between Gates, Ch 3+4 (m/s) Run #3","Time Between Gates, Ch 1+2 (s) Run #4","Speed Between Gates, Ch 1+2 (m/s) Run #4","Time Between Gates, Ch 3+4 (s) Run #4","Speed Between Gates, Ch 3+4 (m/s) Run #4","Time Between Gates, Ch 1+2 (s) Run #5","Speed Between Gates, Ch 1+2 (m/s) Run #5","Time Between Gates, Ch 3+4 (s) Run #5","Speed Between Gates, Ch 3+4 (m/s) Run #5","Time Between Gates, Ch 1+2 (s) Run #6","Speed Between Gates, Ch 1+2 (m/s) Run #6","Time Between Gates, Ch 3+4 (s) Run #6","Speed Between Gates, Ch 3+4 (m/s) Run #6","Time Between Gates, Ch 1+2 (s) Run #7","Speed Between Gates, Ch 1+2 (m/s) Run #7","Time Between Gates, Ch 3+4 (s) Run #7","Speed Between Gates, Ch 3+4 (m/s) Run #7","Time Between Gates, Ch 1+2 (s) Run #8","Speed Between Gates, Ch 1+2 (m/s) Run #8","Time Between Gates, Ch 3+4 (s) Run #8","Speed Between Gates, Ch 3+4 (m/s) Run #8","Time Between Gates, Ch 1+2 (s) Run #9","Speed Between Gates, Ch 1+2 (m/s) Run #9","Time Between Gates, Ch 3+4 (s) Run #9","Speed Between Gates, Ch 3+4 (m/s) Run #9","Time Between Gates, Ch 1+2 (s) Run #10","Speed Between Gates, Ch 1+2 (m/s) Run #10","Time Between Gates, Ch 3+4 (s) Run #10","Speed Between Gates, Ch 3+4 (m/s) Run #10","Time Between Gates, Ch 1+2 (s) Run #11","Speed Between Gates, Ch 1+2 (m/s) Run #11","Time Between Gates, Ch 3+4 (s) Run #11","Speed Between Gates, Ch 3+4 (m/s) Run #11","Time Between Gates, Ch 1+2 (s) Run #12","Speed Between Gates, Ch 1+2 (m/s) Run #12","Time Between Gates, Ch 3+4 (s) Run #12","Speed Between Gates, Ch 3+4 (m/s) Run #12","Time Between Gates, Ch 1+2 (s) Run #13","Speed Between Gates, Ch 1+2 (m/s) Run #13","Time Between Gates, Ch 3+4 (s) Run #13","Speed Between Gates, Ch 3+4 (m/s) Run #13","Time Between Gates, Ch 1+2 (s) Run #14","Speed Between Gates, Ch 1+2 (m/s) Run #14","Time Between Gates, Ch 3+4 (s) Run #14","Speed Between Gates, Ch 3+4 (m/s) Run #14","Time Between Gates, Ch 1+2 (s) Run #15","Speed Between Gates, Ch 1+2 (m/s) Run #15","Time Between Gates, Ch 3+4 (s) Run #15","Speed Between Gates, Ch 3+4 (m/s) Run #15","Time Between Gates, Ch 1+2 (s) Run #16","Speed Between Gates, Ch 1+2 (m/s) Run #16","Time Between Gates, Ch 3+4 (s) Run #16","Speed Between Gates, Ch 3+4 (m/s) Run #16","Time Between Gates, Ch 1+2 (s) Run #17","Speed Between Gates, Ch 1+2 (m/s) Run #17","Time Between Gates, Ch 3+4 (s) Run #17","Speed Between Gates, Ch 3+4 (m/s) Run #17","Time Between Gates, Ch 1+2 (s) Run #18","Speed Between Gates, Ch 1+2 (m/s) Run #18","Time Between Gates, Ch 3+4 (s) Run #18","Speed Between Gates, Ch 3+4 (m/s) Run #18","Time Between Gates, Ch 1+2 (s) Run #19","Speed Between Gates, Ch 1+2 (m/s) Run #19","Time Between Gates, Ch 3+4 (s) Run #19","Speed Between Gates, Ch 3+4 (m/s) Run #19","Time Between Gates, Ch 1+2 (s) Run #20","Speed Between Gates, Ch 1+2 (m/s) Run #20","Time Between Gates, Ch 3+4 (s) Run #20","Speed Between Gates, Ch 3+4 (m/s) Run #20","Time Between Gates, Ch 1+2 (s) Run #21","Speed Between Gates, Ch 1+2 (m/s) Run #21","Time Between Gates, Ch 3+4 (s) Run #21","Speed Between Gates, Ch 3+4 (m/s) Run #21","Time Between Gates, Ch 1+2 (s) Run #22","Speed Between Gates, Ch 1+2 (m/s) Run #22","Time Between Gates, Ch 3+4 (s) Run #22","Speed Between Gates, Ch 3+4 (m/s) Run #22","Time Between Gates, Ch 1+2 (s) Run #23","Speed Between Gates, Ch 1+2 (m/s) Run #23","Time Between Gates, Ch 3+4 (s) Run #23","Speed Between Gates, Ch 3+4 (m/s) Run #23","Time Between Gates, Ch 1+2 (s) Run #24","Speed Between Gates, Ch 1+2 (m/s) Run #24","Time Between Gates, Ch 3+4 (s) Run #24","Speed Between Gates, Ch 3+4 (m/s) Run #24","Time Between Gates, Ch 1+2 (s) Run #25","Speed Between Gates, Ch 1+2 (m/s) Run #25","Time Between Gates, Ch 3+4 (s) Run #25","Speed Between Gates, Ch 3+4 (m/s) Run #25"
0.13,0.53,,,0.12,0.57,,,0.13,0.53,,,0.12,0.57,,,0.12,0.57,,,0.13,0.54,,,0.13,0.55,,,0.13,0.55,,,0.13,0.55,,,0.13,0.55,,,0.12,0.57,,,0.12,0.57,,,0.13,0.54,,,0.13,0.56,,,0.13,0.56,,,0.13,0.54,,,0.13,0.53,,,0.12,0.57,,,0.13,0.53,,,0.12,0.59,,,0.13,0.53,,,0.12,0.57,,,0.14,0.52,,,0.13,0.54,,,0.13,0.53,,
,,0.03,2.64,,,0.03,2.61,,,0.03,2.57,,,0.03,2.49,,,0.03,2.42,,,0.03,2.54,,,0.03,2.54,,,0.03,2.50,,,0.03,2.63,,,0.03,2.62,,,0.03,2.21,,,0.03,2.24,,,0.03,2.25,,,0.03,2.15,,,0.03,2.22,,,0.03,2.21,,,0.03,2.22,,,0.03,2.21,,,0.03,2.19,,,0.03,2.22,,,0.03,2.33,,,0.03,2.36,,,0.03,2.41,,,0.03,2.43,,,0.03,2.42
