"Time (s) Run #1","X Magnetic Field Strength (G) Run #1","Y Magnetic Field Strength (G) Run #1","Z Magnetic Field Strength (G) Run #1","|Resultant| Magnetic Field Strength (G) Run #1"
12.900,-0.435,-0.174,0.0990,0.479
13.000,-0.410,-0.182,0.116,0.463
13.100,-0.384,-0.194,0.159,0.458
13.200,-0.383,-0.194,0.185,0.467
13.300,-0.363,-0.189,0.204,0.457
13.400,-0.366,-0.209,0.240,0.485
13.500,-0.512,-0.258,0.371,0.682
13.600,-0.893,-0.128,0.521,1.04
13.700,-1.17,-0.110,0.576,1.30
13.800,-1.55,-0.0960,0.771,1.74
13.900,-2.27,0.153,1.13,2.54
14.000,-2.97,0.528,1.52,3.38
14.100,-3.93,0.900,1.69,4.37
14.200,-4.94,1.01,1.49,5.26
14.300,-5.70,1.48,1.55,6.09
14.400,-9.13,3.48,2.30,10.0
14.500,-23.3,5.82,3.77,24.3
14.600,-46.9,2.12,1.95,47.0
14.700,-49.3,-0.182,0.738,49.3
14.800,-49.3,0.837,1.73,49.4
14.900,-49.3,-0.492,0.437,49.3
15.000,-49.3,-0.492,0.437,49.3
15.100,-49.3,-0.492,0.437,49.3
15.200,-49.3,-0.492,0.437,49.3
15.300,-49.3,-0.492,0.437,49.3
15.400,-49.3,-0.492,0.437,49.3
15.500,-49.3,-0.492,0.437,49.3
15.600,-49.3,-0.492,0.437,49.3
15.700,-49.3,-0.492,0.437,49.3
15.800,-49.3,-0.492,0.437,49.3
15.900,-49.3,-0.492,0.437,49.3
16.000,-49.3,-0.492,0.437,49.3
16.100,-49.3,-0.492,0.437,49.3
16.200,-49.3,-0.492,0.437,49.3
16.300,-49.3,-0.492,0.437,49.3
16.400,-49.3,-0.492,0.437,49.3
16.500,-49.3,-0.492,0.437,49.3
16.600,-49.3,-0.492,0.437,49.3
16.700,-49.3,-0.492,0.437,49.3
16.800,-49.3,-0.492,0.437,49.3
16.900,-49.3,-0.492,0.437,49.3
17.000,-49.3,-0.492,0.437,49.3
17.100,-49.3,-0.492,0.437,49.3
17.200,-49.3,-0.492,0.437,49.3
17.300,-49.3,-0.492,0.437,49.3
17.400,-49.3,-0.492,0.437,49.3
17.500,-49.3,-0.492,0.437,49.3
17.600,-49.3,-0.492,0.437,49.3
17.700,-49.3,-0.492,0.437,49.3
17.800,-49.0,-1.64,-0.0735,49.0
17.900,-12.0,-5.37,-0.546,13.2
18.000,-1.82,-0.476,0.111,1.88
18.100,-1.17,-0.0735,0.0915,1.18
18.200,-1.07,0.0165,0.0915,1.07
18.300,-1.04,0.0480,0.0900,1.04
18.400,-1.02,0.0735,0.0915,1.03
18.500,-1.01,0.0840,0.101,1.02
18.600,-1.02,0.0945,0.0930,1.02
18.700,-1.02,0.0990,0.0945,1.03
18.800,-1.01,0.108,0.0930,1.02
18.900,-1.02,0.108,0.0930,1.03
19.000,-1.02,0.101,0.107,1.03
19.100,-1.02,0.117,0.116,1.03
19.200,-0.969,0.147,0.114,0.987
19.300,-0.921,0.215,0.122,0.953
19.400,-0.792,0.327,0.173,0.874
19.500,-0.573,0.549,0.227,0.825
19.600,-0.146,0.828,0.0255,0.841
19.700,0.00300,0.885,-0.308,0.937
19.800,-0.0375,0.753,-0.488,0.898
19.900,0.407,0.687,-0.576,0.984
20.000,2.72,0.351,-1.18,2.98
20.100,11.1,-3.72,-2.21,11.9
20.200,33.5,-8.51,0.131,34.5
20.300,49.0,-0.771,0.707,49.0
20.400,49.0,-0.492,0.437,49.0
20.500,49.0,-0.492,0.437,49.0
20.600,49.0,-0.492,0.437,49.0
20.700,49.0,-0.492,0.437,49.0
20.800,49.0,-0.492,0.437,49.0
20.900,49.0,-0.492,0.437,49.0
21.000,49.0,-0.492,0.437,49.0
21.100,49.0,-0.492,0.437,49.0
21.200,49.0,-0.492,0.437,49.0
21.300,49.0,-0.492,0.437,49.0
21.400,49.0,-0.492,0.437,49.0
21.500,49.0,-0.492,0.437,49.0
21.600,49.0,-0.492,0.437,49.0
21.700,49.0,-0.492,0.437,49.0
21.800,49.0,-0.492,0.437,49.0
21.900,49.0,-0.492,0.437,49.0
22.000,49.0,-0.492,0.437,49.0
22.100,49.0,-0.492,0.437,49.0
22.200,49.0,-0.492,0.437,49.0
22.300,49.0,-0.492,0.437,49.0
22.400,49.0,-0.492,0.437,49.0
22.500,49.0,-0.492,0.437,49.0
22.600,49.0,-0.492,0.437,49.0
22.700,49.0,-0.492,0.437,49.0
22.800,49.0,-0.492,0.437,49.0
22.900,49.0,-0.492,0.437,49.0
23.000,49.0,-0.492,0.437,49.0
23.100,49.0,-0.492,0.437,49.0
23.200,49.0,-0.492,0.437,49.0
23.300,49.0,-0.492,0.437,49.0
23.400,49.0,-0.492,0.437,49.0
23.500,49.0,-0.492,0.437,49.0
23.600,45.8,4.57,2.12,46.1
23.700,5.52,5.86,1.16,8.13
23.800,0.207,0.473,0.216,0.559
23.900,0.0825,0.203,0.191,0.290
24.000,0.0495,0.134,0.177,0.227
24.100,0.0435,0.0810,0.165,0.189
24.200,0.0510,0.0660,0.164,0.184
24.300,0.0510,0.0645,0.158,0.178
24.400,0.0480,0.0630,0.146,0.166
24.500,0.0480,0.0600,0.155,0.173
24.600,0.0525,0.0540,0.153,0.171
24.700,0.0510,0.0540,0.155,0.171
24.800,0.0435,0.0525,0.147,0.162
24.900,0.0450,0.0465,0.150,0.163
25.000,0.0240,0.0450,0.144,0.153
25.100,-0.0135,0.0405,0.155,0.160
25.200,-0.0510,0.0510,0.159,0.175
25.300,-0.0840,0.0285,0.173,0.194
25.400,-0.107,-0.0180,0.167,0.198
25.500,-0.116,-0.0720,0.129,0.188
25.600,-0.113,-0.191,0.101,0.243
25.700,-0.0795,-0.464,0.0465,0.473
25.800,0.0945,-1.60,0.107,1.60
25.900,1.45,-7.45,0.756,7.62
26.000,6.79,-22.1,2.08,23.2
26.100,2.05,-12.1,-0.644,12.2
26.200,3.20,-18.1,0.188,18.4
26.300,8.15,-43.4,5.87,44.5
26.400,0.711,-49.6,1.30,49.7
26.500,1.55,-49.6,2.12,49.7
26.600,-0.168,-49.6,0.437,49.6
26.700,-0.168,-49.6,0.437,49.6
26.800,-0.168,-49.6,0.437,49.6
26.900,-0.168,-49.6,0.437,49.6
27.000,-0.168,-49.6,0.437,49.6
27.100,-0.168,-49.6,0.437,49.6
27.200,-0.168,-49.6,0.437,49.6
27.300,-0.168,-49.6,0.437,49.6
27.400,-0.168,-49.6,0.437,49.6
27.500,-0.168,-49.6,0.437,49.6
