"Time (s) Run #1","X Magnetic Field Strength (G) Run #1","Y Magnetic Field Strength (G) Run #1","Z Magnetic Field Strength (G) Run #1","|Resultant| Magnetic Field Strength (G) Run #1"
60.000,0.0390,0.0810,0.0795,0.120
60.100,0.0390,0.0750,0.0780,0.115
60.200,0.0315,0.0645,0.0735,0.103
60.300,0.0210,0.0555,0.0765,0.0968
60.400,0.00750,0.0465,0.0705,0.0848
60.500,-0.0210,0.0255,0.0780,0.0847
60.600,-0.0405,0.00150,0.0945,0.103
60.700,-0.0540,0.00,0.105,0.118
60.800,-0.0585,0.00450,0.119,0.132
60.900,-0.0615,-0.00150,0.108,0.124
61.000,-0.0600,-0.00600,0.104,0.120
61.100,-0.0450,-0.00450,0.0990,0.109
61.200,-0.0285,-0.00300,0.0975,0.102
61.300,-0.0270,0.00450,0.0960,0.0998
61.400,-0.0255,0.0105,0.0975,0.101
61.500,-0.0390,0.00900,0.0975,0.105
61.600,-0.0450,0.00600,0.0945,0.105
61.700,-0.0405,0.0225,0.102,0.112
61.800,-0.0345,0.0315,0.102,0.112
61.900,-0.0345,0.0270,0.105,0.114
62.000,-0.0270,0.0375,0.101,0.111
62.100,-0.0225,0.0435,0.101,0.112
62.200,-0.0225,0.0435,0.108,0.119
62.300,-0.0225,0.0465,0.113,0.124
62.400,-0.0285,0.0390,0.105,0.116
62.500,-0.0315,0.0345,0.105,0.115
62.600,-0.0420,0.0375,0.101,0.115
62.700,-0.0420,0.0405,0.0975,0.114
62.800,-0.0435,0.0420,0.0945,0.112
62.900,-0.0390,0.0405,0.0990,0.114
63.000,-0.0315,0.0285,0.0945,0.104
63.100,-0.0270,0.00150,0.0975,0.101
63.200,-0.0285,-0.0285,0.0960,0.104
63.300,-0.0285,-0.0735,0.0885,0.119
63.400,-0.00450,-0.0885,0.0870,0.124
63.500,0.0360,-0.0225,0.114,0.122
63.600,0.0495,0.0285,0.122,0.134
63.700,0.0600,0.0540,0.123,0.147
63.800,0.0780,0.0735,0.132,0.170
63.900,0.105,0.0915,0.135,0.194
64.000,0.128,0.105,0.140,0.216
64.100,0.146,0.131,0.150,0.246
64.200,0.152,0.177,0.164,0.285
64.300,0.141,0.186,0.170,0.288
64.400,0.146,0.200,0.177,0.304
64.500,0.156,0.216,0.182,0.322
64.600,0.164,0.245,0.195,0.353
64.700,0.168,0.239,0.200,0.353
64.800,0.162,0.234,0.192,0.343
64.900,0.147,0.237,0.179,0.331
65.000,0.140,0.237,0.153,0.315
65.100,0.146,0.221,0.156,0.307
65.200,0.144,0.215,0.144,0.296
65.300,0.152,0.210,0.140,0.294
65.400,0.150,0.218,0.155,0.306
65.500,0.189,0.216,0.180,0.339
65.600,0.206,0.198,0.171,0.333
65.700,0.201,0.183,0.165,0.318
65.800,0.185,0.168,0.164,0.298
65.900,0.188,0.164,0.161,0.296
66.000,0.209,0.180,0.176,0.327
66.100,0.222,0.197,0.186,0.350
66.200,0.224,0.195,0.176,0.345
66.300,0.216,0.192,0.164,0.332
66.400,0.212,0.186,0.156,0.322
66.500,0.206,0.185,0.155,0.316
66.600,0.210,0.185,0.167,0.325
66.700,0.225,0.194,0.179,0.346
66.800,0.248,0.191,0.171,0.356
66.900,0.258,0.204,0.174,0.372
67.000,0.260,0.215,0.194,0.388
67.100,0.269,0.225,0.213,0.410
67.200,0.263,0.222,0.228,0.413
67.300,0.264,0.201,0.249,0.415
67.400,0.285,0.192,0.285,0.446
67.500,0.302,0.198,0.317,0.480
67.600,0.303,0.195,0.335,0.492
67.700,0.345,0.197,0.369,0.542
67.800,0.354,0.197,0.360,0.542
67.900,0.336,0.137,0.308,0.475
68.000,0.317,0.108,0.288,0.441
68.100,0.300,0.104,0.281,0.424
68.200,0.257,0.0765,0.251,0.367
68.300,0.215,0.0690,0.222,0.316
68.400,0.188,0.0765,0.242,0.315
68.500,0.147,0.0690,0.222,0.275
68.600,0.0525,0.0870,0.194,0.219
68.700,-0.00300,0.107,0.174,0.204
68.800,-0.146,0.156,0.101,0.236
68.900,-0.321,0.243,-0.0150,0.403
69.000,-0.492,0.317,-0.117,0.597
69.100,-0.647,0.393,-0.231,0.791
69.200,-0.585,0.312,-0.134,0.676
69.300,-0.416,0.210,0.00150,0.466
69.400,-0.369,0.177,-0.00750,0.409
69.500,-0.354,0.114,-0.0435,0.374
69.600,-0.459,0.143,-0.0675,0.485
69.700,-0.510,0.213,-0.0555,0.555
69.800,-0.459,0.224,-0.0105,0.511
69.900,-0.359,0.144,0.0420,0.389
70.000,-0.336,0.144,0.0780,0.374
70.100,-0.345,0.137,0.113,0.388
70.200,-0.332,0.126,0.116,0.373
70.300,-0.339,0.147,0.105,0.384
70.400,-0.353,0.150,0.105,0.397
70.500,-0.338,0.147,0.113,0.385
70.600,-0.317,0.147,0.122,0.370
70.700,-0.288,0.129,0.149,0.349
70.800,-0.263,0.116,0.162,0.329
70.900,-0.255,0.104,0.165,0.321
71.000,-0.257,0.108,0.170,0.326
71.100,-0.266,0.117,0.173,0.338
71.200,-0.273,0.126,0.173,0.347
71.300,-0.279,0.125,0.164,0.347
71.400,-0.285,0.141,0.150,0.352
71.500,-0.278,0.165,0.141,0.352
