group,stations,distance,magnets,gate,n_speed,mean_speed,std_speed,sem_speed,n_time,mean_time,std_time,sem_time
Run 1-10,1.0,9.979,2.0,1+2,10,0.548,0.01813529401164724,0.005734883511361745,10,0.129,0.005676462121975473,0.0017950549357115032
Run 1-10,1.0,9.979,2.0,3+4,10,2.758,0.06811754546370573,0.021540659228538053,10,0.028999999999999998,0.0031622776601683785,0.0009999999999999996
Run 11-20,1.0,9.787,4.0,1+2,10,0.549,0.011972189997378629,0.0037859388972001765,10,0.129,0.0031622776601683876,0.0010000000000000026
Run 11-20,1.0,9.787,4.0,3+4,10,2.804,0.025033311140691503,0.007916228058025294,10,0.027999999999999997,0.004216370213557839,0.001333333333333333
Run 21-30,1.0,10.803,8.0,1+2,10,0.55,0.022110831935702666,0.00699205898780101,10,0.131,0.005676462121975473,0.0017950549357115032
Run 21-30,1.0,10.803,8.0,3+4,10,2.674,0.03470510689285434,0.01097471842210289,10,0.03,0.0,0.0
Run 31-40,1.0,10.925,6.0,1+2,10,0.54,0.014907119849998611,0.004714045207910321,10,0.132,0.004216370213557841,0.001333333333333334
Run 31-40,1.0,10.925,6.0,3+4,10,2.702,0.03293090409394256,0.010413666234542197,10,0.03,0.0,0.0
