group,stations,distance,magnets,gate,n_speed,mean_speed,std_speed,sem_speed,n_time,mean_time,std_time,sem_time
All Runs,,,,1+2,7,0.5442857142857144,0.015118578920369096,0.005714285714285717,7,0.13142857142857142,0.0037796447300922765,0.00142857142857143
All Runs,,,,3+4,7,0.43142857142857144,0.058716429111612775,0.02219272418615437,7,0.16714285714285712,0.022146697055682823,0.008370664681546161
