Conditions:,"8 cards, measured using a caliper.",,,
,,,,
,,,,
,,,,
,,,,
Trial,Relaxed thickness (mm),Compressed thickness (mm),Difference,Difference per card
1,2.52,2.49,0.03,0.00375
2,2.52,2.48,0.04,0.005
3,2.52,2.48,0.04,0.005
4,2.52,2.48,0.04,0.005
5,2.52,2.48,0.04,0.005
