"Time (s) Run #1","Force (N) Run #1","Acceleration - x (m/s²) Run #1","Acceleration - y (m/s²) Run #1","Acceleration - z (m/s²) Run #1","Acceleration - resultant (m/s²) Run #1","Angular Velocity - x (rad/s) Run #1","Angular Velocity - y (rad/s) Run #1","Angular Velocity - z (rad/s) Run #1"
3.950,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
4.000,0.06,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
4.050,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
4.100,0.05,9.9,-0.1,0.1,9.9,0.0,0.0,-6.1E-4
4.150,0.05,9.8,0.0,0.0,9.8,0.0,0.0,0.0
4.200,0.04,9.9,0.0,0.0,9.9,0.0,0.0,0.0
4.250,0.03,9.8,-0.2,0.0,9.8,0.0,0.0,0.0
4.300,0.04,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
4.350,0.03,9.9,0.0,0.0,9.9,0.0,0.0,-6.1E-4
4.400,0.04,9.8,-0.1,0.1,9.8,0.0,0.0,0.0
4.450,0.04,9.8,-0.1,-0.1,9.8,0.0,0.0,0.0
4.500,0.05,9.9,1.9E-4,0.0,9.9,0.0,0.0,6.1E-4
4.550,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
4.600,0.04,9.8,0.0,0.0,9.8,0.0,0.0,0.0
4.650,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
4.700,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
4.750,0.04,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
4.800,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
4.850,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
4.900,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
4.950,0.02,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
5.000,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
5.050,0.03,9.9,0.0,0.0,9.9,0.0,0.0,6.1E-4
5.100,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
5.150,0.05,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
5.200,0.04,9.9,-0.2,0.0,9.9,0.0,0.0,0.0
5.250,0.03,9.9,0.0,0.0,9.9,0.0,0.0,6.1E-4
5.300,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
5.350,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
5.400,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
5.450,0.04,9.8,0.0,0.1,9.8,0.0,0.0,6.1E-4
5.500,0.04,9.8,-0.2,0.0,9.8,0.0,0.0,-6.1E-4
5.550,0.04,9.8,0.0,0.0,9.8,0.0,0.0,0.0
5.600,0.04,9.8,-0.1,0.0,9.8,-1.2E-4,0.0,0.0
5.650,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
5.700,0.04,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
5.750,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
5.800,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
5.850,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
5.900,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
5.950,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
6.000,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
6.050,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
6.100,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
6.150,0.05,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
6.200,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
6.250,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
6.300,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
6.350,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
6.400,0.04,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
6.450,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
6.500,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
6.550,0.04,9.9,0.0,0.0,9.9,0.0,0.0,-6.1E-4
6.600,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
6.650,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
6.700,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
6.750,0.04,9.9,0.0,0.0,9.9,0.0,0.0,6.1E-4
6.800,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
6.850,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
6.900,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
6.950,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
7.000,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
7.050,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
7.100,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
7.150,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
7.200,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
7.250,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
7.300,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
7.350,0.03,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
7.400,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
7.450,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
7.500,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
7.550,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
7.600,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
7.650,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
7.700,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
7.750,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
7.800,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
7.850,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
7.900,0.04,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
7.950,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
8.000,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
8.050,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
8.100,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
8.150,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
8.200,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
8.250,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
8.300,0.04,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
8.350,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
8.400,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
8.450,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
8.500,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
8.550,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
8.600,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
8.650,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
8.700,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
8.750,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
8.800,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
8.850,0.03,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
8.900,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
8.950,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
9.000,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
9.050,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
9.100,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
9.150,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
9.200,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
9.250,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
9.300,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
9.350,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
9.400,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
9.450,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
9.500,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
9.550,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
9.600,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
9.650,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
9.700,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
9.750,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
9.800,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
9.850,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
9.900,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
9.950,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
10.000,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
10.050,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
10.100,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
10.150,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
10.200,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
10.250,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
10.300,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
10.350,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
10.400,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
10.450,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
10.500,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
10.550,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
10.600,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
10.650,0.01,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
10.700,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
10.750,0.04,9.9,0.0,0.0,9.9,0.0,0.0,-6.1E-4
